OBJECTID,CALL_TYPE_FINAL,LOCATION,CURR_DGROUP,callCreatedDateTime,NEIGHBORHOOD,MAP_PAGE,x,y
15,Shooting (Non Fatal),700 BLK OF GENERAL ROBINSON ST,1,2023-10-01T02:32:00,NORTH SHORE,5632,-79.998027,40.4495
16,Theft,4800 BLK OF LIBERTY AVE,5,2023-10-01T01:43:00,BLOOMFIELD,809,-79.94730956,40.46117163
17,Robbery,FORBES AVE & MURRAY AVE,4,2023-10-01T00:21:00,SQUIRREL HILL SOUTH,1403,-79.92298427,40.43805623
18,Theft,FORBES AVE & MURRAY AVE,4,2023-10-01T00:21:00,SQUIRREL HILL SOUTH,1403,-79.92298427,40.43805623
19,Burglary,5700 BLK OF POCUSSETT ST,4,2023-09-30T23:30:00,SQUIRREL HILL SOUTH,1413,-79.924942,40.42941
20,Theft,300 BLK OF CRAFT AVE,4,2023-09-30T23:30:00,SOUTH OAKLAND,409,-79.96134974,40.43534988
21,Theft,400 BLK OF CALLE AVE,3,2023-09-30T22:40:00,BON AIR,5624,-79.99912517,40.40756957
22,Theft,100 BLK OF S 18TH ST,3,2023-09-30T22:35:00,SOUTH SIDE FLATS,1702,-79.98055398,40.42632713
23,Theft,1200 BLK OF BROWNSVILLE RD,3,2023-09-30T21:10:00,CARRICK,2901,-79.99045518,40.40312964
24,Theft,200 BLK OF ATWOOD ST,4,2023-09-30T20:51:00,CENTRAL OAKLAND,405,-79.95701397,40.44073693
25,Aggravated Assault,100 BLK OF 5TH AVE,2,2023-09-30T20:49:00,CENTRAL BUSINESS DISTRICT,201,-80.00287325,40.44140616
26,Robbery,100 BLK OF 5TH AVE,2,2023-09-30T20:49:00,CENTRAL BUSINESS DISTRICT,201,-80.00287325,40.44140616
27,Theft,100 BLK OF 5TH AVE,2,2023-09-30T20:49:00,CENTRAL BUSINESS DISTRICT,201,-80.00287325,40.44140616
28,Theft,5800 BLK OF FORBES AVE,4,2023-09-30T20:19:00,SQUIRREL HILL NORTH,1403,-79.92173942,40.43824293
29,Theft from Vehicle,S 18TH ST & CROSMAN ST,3,2023-09-30T20:00:00,SOUTH SIDE SLOPES,1706,-79.98032,40.421086
30,Theft from Vehicle,400 BLK OF EAST END AVE,4,2023-09-30T20:00:00,POINT BREEZE,1406,-79.89514777,40.44315181
31,Theft,3500 BLK OF WARD ST,4,2023-09-30T19:12:00,CENTRAL OAKLAND,406,-79.95438236,40.43632159
32,Theft,700 BLK OF 2ND AVE,2,2023-09-30T18:00:00,BLUFF,103,-79.99425674,40.43521216
33,Theft,S 18TH ST & PIUS ST,3,2023-09-30T17:55:00,SOUTH SIDE SLOPES,1706,-79.97769254,40.42382675
34,Theft from Vehicle,500 BLK OF EAST END AVE,4,2023-09-30T17:35:00,POINT BREEZE,1406,-79.89587591,40.44250813
35,Theft,7600 BLK OF PENN AVE,4,2023-09-30T15:30:00,POINT BREEZE NORTH,1405,-79.89371129,40.44705334
36,Theft,1200 BLK OF OAKGLEN ST,6,2023-09-30T12:00:00,CRAFTON HEIGHTS,2814,-80.05713678,40.4508895
37,Theft,6400 BLK OF MORROWFIELD AVE,4,2023-09-30T11:50:00,SQUIRREL HILL SOUTH,1414,-79.92037321,40.42672645
38,Vehicle Theft,5200 BLK OF CARNEGIE ST,2,2023-09-30T08:28:00,UPPER LAWRENCEVILLE,1011,-79.95314568,40.48068668
39,Theft from Vehicle,1000 BLK OF ROSSELLE CT,4,2023-09-30T05:30:00,GLEN HAZEL,1504,-79.932343,40.407316
40,Aggravated Assault,2800 BLK OF GLEN MAWR ST,6,2023-09-30T05:16:00,SHERADEN,2018,-80.050989,40.454674
41,Burglary,2800 BLK OF GLEN MAWR ST,6,2023-09-30T05:16:00,SHERADEN,2018,-80.050989,40.454674
42,Vehicle Theft,2900 BLK OF SACRAMENTO AVE,6,2023-09-30T03:23:00,SHERADEN,5625,-80.05023171,40.45742102
43,Theft,6000 BLK OF CENTRE AVE,4,2023-09-30T00:52:00,SHADYSIDE,705,-79.9265974,40.45919142
44,Theft,1300 BLK OF SHEFFIELD ST,1,2023-09-30T00:35:00,MANCHESTER,2107,-80.02555923,40.45336299
45,Theft,5600 BLK OF PENNLEY PL,5,2023-09-30T00:20:00,EAST LIBERTY,1115,-79.929661,40.463533
46,Burglary,300 BLK OF TRAVELLA BLVD,5,2023-09-29T22:30:00,LINCOLN-LEMINGTON-BELMAR,5619,-79.88812607,40.47139748
47,Theft,4400 BLK OF HOWLEY ST,5,2023-09-29T21:45:00,BLOOMFIELD,903,-79.95277019,40.4646815
48,Theft,1100 BLK OF LINCOLN AVE,5,2023-09-29T21:36:00,LINCOLN-LEMINGTON-BELMAR,1203,-79.90087319,40.46444194
49,Theft,100 BLK OF EARL ST,6,2023-09-29T20:45:00,ESPLEN,5625,-80.04861502,40.45989677
50,Theft from Vehicle,300 BLK OF ROBINSON ST,4,2023-09-29T20:18:00,WEST OAKLAND,402,-79.96548802,40.44225361
51,Burglary,2300 BLK OF BROWNSVILLE RD,3,2023-09-29T20:10:00,CARRICK,2902,-79.9853876,40.38978365
52,Burglary,700 BLK OF SHADYCREST CT,6,2023-09-29T18:16:00,BEECHVIEW,1916,-80.02560758,40.42444295
53,Theft,100 BLK OF WASHINGTON PL,2,2023-09-29T18:14:00,CENTRAL BUSINESS DISTRICT,201,-79.99224288,40.43944435
54,Theft from Vehicle,2100 BLK OF 5TH AVE,2,2023-09-29T16:23:00,BLUFF,103,-79.97538929,40.4378641
