position,title,placeId,dataId,thumbnail,phone,address,website,workingHours,rating,reviews,type,gpsCoordinates,serviceOptions,description,longitude,latitude,area
1,Giant Eagle Supermarket,ChIJqxxSBv_xNIgRHpqI1G1fn18,0x8834f1ff06521cab:0x5f9f5f6dd4889a1e,https://lh5.googleusercontent.com/p/AF1QipMacTHyXvVPfeYv_1LZncNID0jEvHWdPh3P7Gmr=w163-h92-k-no,(412) 421-8161,"1901 Murray Ave, Pittsburgh, PA 15217",https://www.gianteagle.com/stores/pa/pittsburgh/squirrel-hill-giant-eagle/38,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '6\u202fAM–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '6\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '6\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '6\u202fAM–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '6\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '6\u202fAM–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '6\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",4.0,1580.0,Grocery store,"{'latitude': 40.4354495, 'longitude': -79.9226013}","['Curbside pickup', 'In-store pickup', 'In-store shopping']",,-79.9226013,40.4354495,Squirrel Hill
2,Squirrel Hill Market,ChIJTZI2vU_xNIgRUptka-9QjUw,0x8834f14fbd36924d:0x4c8d50ef6b649b52,https://lh5.googleusercontent.com/p/AF1QipOzNTE0iX_EOZN7cxY9LEYAvJZCv75SH5K8Gkc4=w85-h92-k-no,(412) 475-8495,"2130 Murray Ave, Pittsburgh, PA 15217",http://www.squirrelhillmarket.com/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–7\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–7\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–7\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–5\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': 'Closed', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–7\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–7\u202fPM', 'date': '2023-10-18'}]}",4.9,22.0,Gourmet grocery store,"{'latitude': 40.4328456, 'longitude': -79.9231815}","['Curbside pickup', 'No-contact delivery', 'Delivery', 'In-store pickup', 'In-store shopping', 'Same-day delivery']",,-79.9231815,40.4328456,Squirrel Hill
3,Panda Supermarket,ChIJMWsnJADyNIgRw4CWZZRWuTY,0x8834f20024276b31:0x36b95694659680c3,https://lh5.googleusercontent.com/p/AF1QipM-TSKJ2yAlraPD74cCo2qXWL_WpGaAsyNhwpFD=w163-h92-k-no,(412) 409-4430,"5816-5818 Forbes Ave, Pittsburgh, PA 15217",https://www.facebook.com/PandaSupermarket2017/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '12–7\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-18'}]}",4.5,605.0,Asian grocery store,"{'latitude': 40.4379242, 'longitude': -79.92223969999999}",['In-store shopping'],,-79.92223969999999,40.4379242,Squirrel Hill
4,Scotty's Market,ChIJxwo0Xy_zNIgR-GegCQQ9ZcU,0x8834f32f5f340ac7:0xc5653d0409a067f8,https://lh5.googleusercontent.com/p/AF1QipNFkZ8EpSlVbraCNNpdKBGTFIXE-IwGponFeiVN=w163-h92-k-no,(412) 268-2000,"5087 Forbes Ave, Pittsburgh, PA 15213",http://cmu.edu/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '8\u202fAM–1\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.8,18.0,Grocery store,"{'latitude': 40.4444661, 'longitude': -79.9389837}",['In-store shopping'],,-79.9389837,40.4444661,Squirrel Hill
5,Food Shoppe,ChIJFWbuuADyNIgRYShQuP2H4RU,0x8834f200b8ee6615:0x15e187fdb8502861,https://lh5.googleusercontent.com/p/AF1QipOYzTJVD2aDAg7iW7vJ6QaqDaaaiVmSm8_WMl26=w122-h92-k-no,(412) 521-0718,"5878 Northumberland St, Pittsburgh, PA 15217",http://www.foodshoppe.com/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': 'Closed', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': 'Closed', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-18'}]}",4.8,115.0,Supermarket,"{'latitude': 40.441561, 'longitude': -79.920557}","['Delivery', 'In-store shopping']",,-79.920557,40.441561,Squirrel Hill
6,Murray Avenue Kosher,ChIJfb-mG__xNIgR6twavQA66HI,0x8834f1ff1ba6bf7d:0x72e83a00bd1adcea,https://lh5.googleusercontent.com/p/AF1QipMjyzWHasri4QixqBr88lWr1du8WyK99qZj-MpN=w122-h92-k-no,(412) 421-1015,"1916 Murray Ave, Pittsburgh, PA 15217",https://www.facebook.com/MurrayAvenueKosher/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '8\u202fAM–8\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '8\u202fAM–3\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': 'Closed', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '8\u202fAM–6\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '8\u202fAM–6\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '8\u202fAM–6\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '8\u202fAM–6\u202fPM', 'date': '2023-10-18'}]}",4.5,126.0,Kosher grocery store,"{'latitude': 40.4355639, 'longitude': -79.9229944}","['Delivery', 'In-store shopping']",,-79.9229944,40.4355639,Squirrel Hill
7,R Market,ChIJx9iSpQzyNIgR_SApLGX0mx0,0x8834f20ca592d8c7:0x1d9bf4652c2920fd,https://lh5.googleusercontent.com/p/AF1QipMqr8_pQghI8d96wvJQanUEX7vgOA1HpKqlNPXw=w155-h92-k-no,(412) 661-7364,"256 S Highland Ave, Pittsburgh, PA 15206",undefined,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-18'}]}",4.2,19.0,Grocery store,"{'latitude': 40.4572807, 'longitude': -79.9253167}","['In-store shopping', 'Delivery']",,-79.9253167,40.4572807,Squirrel Hill
8,New Young's Oriental Grocery Store,ChIJSVHH9vzxNIgR3wfqXU9_eaY,0x8834f1fcf6c75149:0xa6797f4f5dea07df,https://lh5.googleusercontent.com/p/AF1QipPPwYM7uz5Vo5P3YDPlVYJ7hp0ImSadL1qrG1u1=w80-h106-k-no,(412) 422-0559,"5813 Forward Ave, Pittsburgh, PA 15217",undefined,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '9:30\u202fAM–6:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '9:30\u202fAM–6:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '9:30\u202fAM–6:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '1–5\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '9:30\u202fAM–6:30\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Closed', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '9:30\u202fAM–6:30\u202fPM', 'date': '2023-10-18'}]}",4.4,97.0,Asian grocery store,"{'latitude': 40.429742, 'longitude': -79.922929}","['Delivery', 'In-store shopping', 'Same-day delivery']",,-79.922929,40.429742,Squirrel Hill
9,Seoul Mart,ChIJlR8bgCPyNIgR3SKlTK01Cgo,0x8834f223801b1f95:0xa0a35ad4ca522dd,https://lh5.googleusercontent.com/p/AF1QipMcF0lJQusbregxnXA-b3dmsIv4bQj1Hd__zTo2=w80-h106-k-no,(412) 622-7313,"4701 Fifth Ave, Pittsburgh, PA 15213",undefined,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '10\u202fAM–7\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '10\u202fAM–7\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '10\u202fAM–6:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': 'Closed', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '10\u202fAM–7\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '10\u202fAM–7\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '10\u202fAM–7\u202fPM', 'date': '2023-10-18'}]}",3.9,266.0,Asian grocery store,"{'latitude': 40.447244999999995, 'longitude': -79.9472007}","['In-store shopping', 'Delivery']",,-79.9472007,40.447244999999995,Squirrel Hill
10,Trader Joe's,ChIJ1zoyg4rtNIgRSxPRbL-pIKM,0x8834ed8a83323ad7:0xa320a9bf6cd1134b,https://lh5.googleusercontent.com/p/AF1QipOth3tLUaiAOeXfFx0npPGDb1bH7byZz59YHusZ=w163-h92-k-no,(412) 363-5748,"6343 Penn Ave, Pittsburgh, PA 15206",https://locations.traderjoes.com/pa/pittsburgh/638/,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '8\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.6,2748.0,Grocery store,"{'latitude': 40.4592363, 'longitude': -79.9191827}","['In-store shopping', 'Same-day delivery']","Specialty grocer with housebrand items. Grocery chain with a variety of signature items, plus produce, dairy & more (most sell wine & beer).",-79.9191827,40.4592363,Squirrel Hill
