position,title,placeId,dataId,thumbnail,phone,address,website,description,workingHours,rating,reviews,type,gpsCoordinates,serviceOptions,longitude,latitude,area
1,Aladdin's Eatery Squirrel Hill,ChIJz2YHEADyNIgR3i06eMICpDM,0x8834f200100766cf:0x33a402c2783a2dde,https://lh5.googleusercontent.com/p/AF1QipNbhynuIsSBGCbyCcaXpsUp0erWnICXgeF0nmbd=w122-h92-k-no,(412) 421-5100,"5878 Forbes Ave, Pittsburgh, PA 15217",https://aladdins.com/,"Lebanese-American eats & smoothies. Simple Lebanese-American chain offering traditional & vegetarian dishes plus smoothies, beer & wine.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.5,777.0,Lebanese restaurant,"{'latitude': 40.4379249, 'longitude': -79.9198734}","['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-79.9198734,40.4379249,squirrel hill
2,Mediterranean Grill,ChIJEfGbKwDyNIgR-iKYm8ZnK9U,0x8834f2002b9bf111:0xd52b67c69b9822fa,https://lh5.googleusercontent.com/p/AF1QipPWwezYh-U8Er8lgJf6X1gSIOMDKyPaSdaN5sXp=w93-h92-k-no,(412) 521-5505,"5835 Forbes Ave, Pittsburgh, PA 15217",http://www.medgrillpgh.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '4–8\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '4–8\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '4–8\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': 'Closed', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '4–8\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '4–8\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '4–8\u202fPM', 'date': '2023-10-18'}]}",4.6,277.0,Lebanese restaurant,"{'latitude': 40.4382284, 'longitude': -79.9215983}","['Delivery', 'Takeout', 'Dine-in']",-79.9215983,40.4382284,squirrel hill
3,Ramen Bar,ChIJXR5HGADyNIgRlG94zJiYKZE,0x8834f20018471e5d:0x91299898cc786f94,https://lh5.googleusercontent.com/p/AF1QipOdW59xSDi-N_uRBttUCFSWYyLHrQ4Gh2hExKon=w122-h92-k-no,(412) 521-5138,"5860 Forbes Ave, Pittsburgh, PA 15217",http://ramenbarpittsburgh.com/,Contemporary Japanese noodle house. Modern Japanese eatery for specialty noodle soups & customized ramen bowls with various toppings.,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11:30\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11:30\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.5,1654.0,Ramen restaurant,"{'latitude': 40.437857, 'longitude': -79.92054399999999}","['Identifies as veteran-owned', 'Identifies as women-owned']",-79.92054399999999,40.437857,squirrel hill
4,Murray Avenue Grill,ChIJT20LZP_xNIgRfXSxvCBARgI,0x8834f1ff640b6d4f:0x2464020bcb1747d,https://lh5.googleusercontent.com/p/AF1QipPOCFQnRTSolqjQWJv_yXGmk3_-O3PksqY1q9Am=w122-h92-k-no,(412) 521-1272,"1720 Murray Ave, Pittsburgh, PA 15217",http://www.murrayavenuegrill.com/,"Relaxed American eatery with a bar. Neighborhood bar & grill with comfy booths & a menu of gourmet salads, burgers & American mains.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '4:30–9:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '4:30–9:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '4:30–9:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '4:30–9:30\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '4:30–9:30\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '4:30–9:30\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '4:30–9:30\u202fPM', 'date': '2023-10-18'}]}",4.4,507.0,American restaurant,"{'latitude': 40.437277, 'longitude': -79.923124}","['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']",-79.923124,40.437277,squirrel hill
5,Silk Elephant,ChIJU-45Yv_xNIgRciJEiRDX_LU,0x8834f1ff6239ee53:0xb5fcd71089442272,https://lh5.googleusercontent.com/p/AF1QipPqhuSaZQygtE_9u1DWnIBYrSYFQ_OaKmvh1jlr=w80-h93-k-no,(412) 421-8801,"1712 Murray Ave, Pittsburgh, PA 15217",http://www.silkelephant.net/,"Stylish Thai eatery & wine bar. Thai small plates & entrees plus wine & cocktails in a flashy, high-ceilinged space.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",4.2,508.0,Thai restaurant,"{'latitude': 40.4375175, 'longitude': -79.9231221}","['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-79.9231221,40.4375175,squirrel hill
6,Kiin Lao & Thai Eatery,ChIJ2bCX4u3zNIgRffs3LXEuos4,0x8834f3ede297b0d9:0xcea22e712d37fb7d,https://lh5.googleusercontent.com/p/AF1QipOWdb3fQIXEvwmumLAbhWr5-WsMx2X17Bzze8KE=w92-h92-k-no,(412) 521-0728,"5846 Forbes Ave, Pittsburgh, PA 15217",https://www.kiinpgh.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Closed', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",4.4,288.0,Laotian restaurant,"{'latitude': 40.4377594, 'longitude': -79.9211285}","['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-79.9211285,40.4377594,squirrel hill
7,Squirrel Hill Cafe,ChIJYQ2K2gHyNIgRC27oOC1d4h4,0x8834f201da8a0d61:0x1ee25d2d38e86e0b,https://lh5.googleusercontent.com/p/AF1QipNHcJLjyeirPeu18YYxaM_FM9exrXNlYkUPj6DN=w163-h92-k-no,(412) 521-3327,"5802 Forbes Ave, Pittsburgh, PA 15217",undefined,"No-frills watering hole with casual eats. Popular late-night bar serving up cocktails, brews & casual grub in an unpretentious atmosphere.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '6\u202fPM–2\u202fAM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '4\u202fPM–2\u202fAM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '4\u202fPM–2\u202fAM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-18'}]}",4.6,438.0,Bar,"{'latitude': 40.4378655, 'longitude': -79.9226711}","['Takeout', 'Dine-in', 'Delivery']",-79.9226711,40.4378655,squirrel hill
8,Turkish Kebab House,ChIJt-D2X5_zNIgRz9ps_RHI-Og,0x8834f39f5ff6e0b7:0xe8f8c811fd6cdacf,https://lh5.googleusercontent.com/p/AF1QipO4LT1FR8M0RzJbArr3RGA3i8elcnmHBB_Mt1-0=w122-h92-k-no,(412) 422-4100,"5819 Forbes Ave, Pittsburgh, PA 15217",http://turkishkebabhouse.net/,"Popular eatery for Middle Eastern grub. Busy spot with modest decor serving shish kebab, lamb gyros & other classic Mediterranean dishes.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–10:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–10:30\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–10:30\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–10:30\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–10:30\u202fPM', 'date': '2023-10-18'}]}",4.5,878.0,Mediterranean restaurant,"{'latitude': 40.4381737, 'longitude': -79.92219039999999}","['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-79.92219039999999,40.4381737,squirrel hill
9,Everyday Noodles,ChIJY7-zEQDyNIgRnr2vhjLZ77w,0x8834f20011b3bf63:0xbcefd93286afbd9e,https://lh5.googleusercontent.com/p/AF1QipM0bXjm8mkOM5RonLRuWqLEyUNTvLoyvbdRPVLL=w80-h106-k-no,(412) 421-6668,"5875 Forbes Ave, Pittsburgh, PA 15217",http://everydaynoodles.net/,Chinese noodle house with open kitchen. Unique Chinese eatery specializing in hand-pulled noodles crafted behind a kitchen-viewing window.,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11:30\u202fAM–2:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11:30\u202fAM–2:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11:30\u202fAM–2:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11:30\u202fAM–2:30\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11:30\u202fAM–2:30\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11:30\u202fAM–2:30\u202fPM', 'date': '2023-10-18'}]}",4.6,1876.0,Noodle shop,"{'latitude': 40.4382538, 'longitude': -79.92010189999999}","['Takeout', 'Dine-in', 'Delivery']",-79.92010189999999,40.4382538,squirrel hill
10,How Lee Chinese Restaurant,ChIJG-eFCADyNIgRTaCHY2zqm1w,0x8834f2000885e71b:0x5c9bea6c6387a04d,https://lh5.googleusercontent.com/p/AF1QipMQdR8p649ChuCWG9xj8_8ETVOYJg-NBFLelMJj=w122-h92-k-no,(412) 422-1888,"5888 Forbes Ave, Pittsburgh, PA 15217",http://howleeforbesave.com/,Comfort classics & Sichuan specialties. Spartan establishment with a large menu including familiar fare & specialty Sichuan entrees.,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11:30\u202fAM–9:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11:30\u202fAM–9:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '12–8:30\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11:30\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.0,589.0,Chinese restaurant,"{'latitude': 40.43786, 'longitude': -79.919485}","['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-79.919485,40.43786,squirrel hill
